Unnamed: 0	제목	가수	가사
46	스티커 사진	21학번	"눈 감고 찍은 사진
장난스런 표정
하나둘 셋 하고서
손가락 하트
둘이서 연습했던
시그니처 포즈
꽃받침 속 너와 나
빛나고 있어
오늘 뭐해 날씨도 좋은데
홍대 가서 커피나 마실래
연인들 많은 거리에
도란도란 너랑 걷고 싶은데
우리도 예쁜 커플옷 입고
같이 데이트할래
눈 감고 찍은 사진
장난스런 표정
하나둘 셋 하고서
손가락 하트
둘이서 연습했던
시그니처 포즈
꽃받침 속 너와 나
빛나고 있어
수줍었던 그대를 만난 지
이번 주말 벌써 1년이야
기념일마다 약속한
사진 들을 많이 갖고 싶어져
아직도 너랑 설레고 싶어
우리 데이트할래
눈 감고 찍은 사진
장난스런 표정
하나둘 셋 하고서
손가락 하트
둘이서 연습했던
시그니처 포즈
꽃받침 속 너와 나
빛나고 있어
그대를 사랑했던
모든 시간들이
하나부터 열까지
너무 소중해
우리가 약속했던
많은 나날들이
사진 속 우리처럼
빛나고 있어"
47	Feel My Rhythm	Red Velvet (레드벨벳)	"Red Velvet

무도회를 뒤집어
작은 소란을 또 일으켜
This is gonna be a crazy night
(To-na-na-na-na-na-night)

등장부터 인사까지 파격적이게
우리 살짝 놀아볼까
솔직하게 Bae bae
지금부터 시작해 볼게
(Feel my vibe and sway)

꽃가루를 날려
폭죽을 더 크게 터트려
우릴 오만과 편견에 가두지 마
자유로워 지금

Feel my rhythm Come with me
상상해 봐 뭐든지
노래를 따라서 저 달빛에 춤을 춰
바로 지금 (Play my rhythm)

Follow follow my heartbeat
해가 떠올 때까지
Feel my rhythm 멈추지 말아 줘
이 순간을 놓지 마 Baby

차는 Old and Classic
(Just ride)
이제 조금 낯선 다른 차원까지
(Get loud)
상상할 수 없던 곳 시간 속
예고 없이 등장해
이 밤은 멋지고 우린
Fun and wild and brave

시선을 끄는 네 Motion
G-give me a new direction
끝없는 Black hole처럼
빠져드는 Sweet emotion
너를 태운 채 (Sway)
어디로든 떠날래 (Way)
온 세상 모든 경계를
다 휘저을래 (Oh yeah)

꽃가루를 날려
(흩날려)
Champagne을 더 크게 터트려
(마음껏)
더는 어제와 내일에 가두지 마
자유로워 지금

Feel my rhythm Come with me
상상해 봐 뭐든지
노래를 따라서 저 달빛에 춤을 춰
바로 지금 (Play my rhythm)

Follow follow my heartbeat
해가 떠올 때까지
Feel my rhythm 멈추지 말아 줘
이 순간을 놓지 마 Baby

온 세상이 멈추는 순간
What a what a feeling
어서 내 손을 잡아
(All right)
본 적 없던 Film
빠져드는 You and I
Next time 시계를 돌려
어디로 가볼까
Come on 또다시 시작해
You and I

Feel my rhythm Come with me
상상해 봐 뭐든지
노래를 따라서 저 달빛에 춤을 춰
바로 지금 (Play my rhythm)

Follow follow my heartbeat
해가 떠올 때까지
Feel my rhythm 끝나지 않는 꿈
이 순간을 놓지 마 Baby"
48	다시 만날 수 있을까	임영웅	"너를 위해 해 줄 것이 하나 없어서
보낼 수밖에 없었고
네가 없이 사는 법을 알지 못해서
순간순간을 울었다
후회로 가득한 한숨 자락이
시린 바람처럼
가슴 치는 날 그 언젠가
우리 만날 수 있을까
다시 만날 수 있을까
그리 좋던 예전처럼 그때처럼
되돌아갈 수 있을까
다시 우리가 만나면
무엇을 해야만 할까
서로를 품에 안고서
하염없이 눈물만 흘려볼까
붙잡을 마음이야 없었겠냐마는
그때 난 부끄러웠다
떳떳하게 일어나 널 다시 찾아갈
뜨거운 꿈만 꾸었다
둘이 함께 했던 순간순간이
시린 폭포처럼
쏟아지는 날 그 언젠가
우리 만날 수 있을까
다시 만날 수 있을까
그리 좋던 예전처럼 그때처럼
되돌아갈 수 있을까
다시 우리가 만나면
무엇을 해야만 할까
서로를 품에 안고서
하염없이 눈물만 흘려볼까
그리운 마음이 서럽게 흘러넘쳐
너에게 닿을 때
우리 만날 수 있을까
다시 만날 수 있을까
그리 좋던 예전처럼 그때처럼
되돌아갈 수 있을까
다시 우리가 만나면
무엇을 해야만 할까
서로를 품에 안고서
하염없이 눈물만 흘려볼까"
49	I Ain't Worried	OneRepublic	"I don't know what you've been told
But time is running out, no need to take it slow
I'm stepping to you toe-to-toe
I should be scared, honey, maybe so

[Chorus]
But I ain't worried 'bout it right now (Right now)
Keeping dreams alive, 1999, heroes
I ain't worried 'bout it right now (Right now)
Swimmin' in the floods, dancing on the clouds below

[Post-Chorus]
I ain't worried 'bout it
I ain't worried 'bout it (Hey)

[Verse 2]
I don't know what you've been told
But time is running out so spend it like it's gold
I'm living like I'm nine-zeros
Got no regrets even when I am broke (Yeah)
I'm at my best when I got something I'm wanting to steal
Way too busy for them problems and problems to feel (Yeah, yeah)
No stressing, just obsessing with sealing the deal
I'll take it in and let it go

[Chorus]
But I ain't worried 'bout it right now (Right now)
Keeping dreams alive, 1999, heroes
I ain't worried 'bout it right now (Right now)
Swimmin' in the floods, dancing on the clouds below

[Post-Chorus]
I ain't worried 'bout it
I ain't worried 'bout it (Hey)

[Bridge]
Ooh, I ain't worried
Ooh, oh, no, no

[Chorus]
I ain't worried 'bout it right now (Right now)
Keeping dreams alive, 1999, heroes
I ain't worried 'bout it right now (Right now)
Swimmin' in the floods, dancing on the clouds below

[Post-Chorus]
I ain't worried 'bout it (Ooh, hey)
I ain't worried 'bout it (Ooh, hey)

[Outro]
I ain't worried 'bout it"
50	밤하늘의 별을(2020)	경서	"밤하늘의 별을 따서 너에게 줄래
너는 내가 사랑하니까
더 소중하니까
오직 너 아니면 안 된다고
외치고 싶어 그저
내 곁에만 있어줘
떠나지 말아줘
참 많이 어색했었죠 널 처음 만난 날
멀리서 좋아하다가 들킨 사람처럼
숨이 가득 차올라서
아무 말 하지 못했는데
너는 말 없이 웃으며 내 손 잡아줬죠
밤하늘의 별을 따서 너에게 줄래
너는 내가 사랑하니까
더 소중하니까
오직 너 아니면 안 된다고
외치고 싶어
그저 내 곁에만 있어줘
떠나지 말아줘
널 좋아하는 내 마음이 표현이 안 돼
꿈이 아니면 좋겠어 자꾸 웃음 나와
내 모든 걸 다 준대도
너에겐 아깝질 않아
이 순간이 영원하길 난 정말 행복해
밤하늘의 별을 따서 너에게 줄래
너는 내가 사랑하니까
더 소중하니까
오직 너 아니면 안 된다고
외치고 싶어
그저 내 곁에만 있어줘
떠나지 말아줘
그저 내 곁에만 있어줘
떠나지 말아줘
많고 많은 사람 중에
너를 만나서 행복하고 싶어
두 번 다시 울지 않을래
오직 내 눈에는 너만 보여
나를 아껴줘 이제부터
혼자가 아니야 우린 함께니까
나나나 난난 난난나
나나나 난난 난난나
나 나나나 난난 난난나 나나난나
나나나 난난 난난나
나나나 난난 난난나
나 나나나 난난 난난나 나나난나"
51	INVU	태연 (TAEYEON)	"Falling in love
너에겐 난 Option
시작부터 다른 너와 나
깨지는 Heart
빗나간 네 Mention
익숙하거든

I think I lost my mind
But It’s my kind of love
아끼지 않고 다
쏟아내고는 주저앉아
문득 어느 순간
지친 내가 보여
애쓰고 있지만

So I can’t love you
Even though I do
밀어내 봐도
난 너를 못 이겨

날 버리고
날 잃을수록
넌 반짝이는 아이러니

So I N V U
I N V U
I N V U

기대지 마
기대하지도 마
몇 번을 되뇌고 되놰도
그 손길 한 번에
무너지는 날 볼 때
네 기분은 어때

I guess I lost my mind
Yeah It’s my kind of love
늘 처음인 것처럼
서툴러서 또 상처가 나
무뎌지기 전에
아물기도 전에
잔뜩 헤집어놔

So I can’t love you
Even though I do
밀어내 봐도
난 너를 못 이겨

날 버리고
날 잃을수록
넌 반짝이는 아이러니

So I N V U
I N V U
I N V U

식은 온기
부서진 맘이
자꾸 날 할퀴어
아파도 못 멈춰
So when you leave
Please make it easy
Cause I N V U

I N V U
I N V U
I N V U

I N V U"
52	내 손을 잡아	아이유	"느낌이 오잖아

떨리고 있잖아

언제까지 눈치만 볼 거니

네 맘을 말해봐

딴청 피우지 말란 말이야

네 맘 가는 그대로

지금 내 손을 잡아

어서 내 손을 잡아

우연히 고개를 돌릴 때 마다

눈이 마주치는 건

며칠 밤 내내 꿈속에 나타나

밤새 나를 괴롭히는 건

그 많은 빈자리 중에서 하필

내 옆자릴 고르는 건

나도 모르게 어느새 실없는 웃음

흘리고 있다는 건

그럼 말 다했지 뭐

우리 얘기 좀 할까

느낌이 오잖아 떨리고 있잖아

언제까지 눈치만 볼 거니

네 맘을 말해봐

딴청 피우지 말란 말이야

네 맘 가는 그대로

지금 내 손을 잡아

핸드폰 진동에

심장이 덜컥내려 앉는다는 건

오 나도 모르게

어느새 짓궂은 네 말투

자꾸 듣고 싶은걸

어떡해

저기 멀리 걸어온다

눈이 마주친다

언제까지 넌 모른척 할거니

사랑이 온거야 너와 나 말이야

네가 좋아 정말 못 견딜 만큼

그거면 된거야

더는 생각하지 말란 말이야

네 맘 가는 그대로

느낌이 오잖아 떨리고 있잖아

언제까지 눈치만 볼 거니

네 맘을 말해봐

딴청 피우지 말란 말이야

네 맘 가는 그대로

지금 내 손을 잡아

그냥 내 손을 잡아

지금 내 손을 잡아"
53	드라마	아이유	"나도 한때는 그이의 손을 잡고
내가 온 세상 주인공이 된 듯
꽃송이의 꽃잎 하나하나까지
모두 날 위해 피어났지

올림픽대로 뚝섬 유원지
서촌 골목골목 예쁜 식당
나를 휘청거리게 만든
주옥같은 대사들

다시 누군가 사랑할 수 있을까
예쁘다는 말 들을 수 있을까
하루 단 하루만 기회가 온다면
죽을힘을 다해 빛나리

언제부턴가 급격하게
단조로 바뀌던 배경음악
조명이 꺼진 세트장에
혼자 남겨진 나는

단역을 맡은 그냥 평범한 여자
꽃도 하늘도 한강도 거짓말
나의 드라마는 또 이렇게 끝나
나왔는지조차 모르게

끝났는지조차 모르게"
54	바보에게 바보가 (웹툰 '연애의 발견' X 이석훈)	이석훈	"너무 걱정하지는 마
보란 듯이 살아 볼 거야
후회는 사치일 뿐이야
다시 시작해 볼게
나 어제 또 울었어
나 어제 또 슬펐어
왜 이런 바보를 사랑한 거니
네 마음이 예뻐서
네 사랑이 고마워
이젠 네 손을 잡고
다시 태어날 거야
바보도 사랑합니다
보내주신 이 사람
이제 다시는 울지 않을 겁니다
나 이제 목숨을 걸고
세상 아픔에서 지켜낼게요
이 사람을 사랑합니다
널 위한다는 그 이유로
너를 보낼 뻔했어
나 그렇게 바보야
넌 내 사랑 바보고
서로를 많이도 울게 했었지
네 사랑이 없다면
널 만날 수 없다면
아마 나는 평생을 후회하며 살 거야
바보도 사랑합니다
보내주신 이 사람
이제 다시는 울지 않을 겁니다
나 이제 목숨을 걸고
세상 아픔에서 지켜낼게요
이 사람을
널 위해 노력해 볼게
널 위해 살아갈게
나약한 마음 따윈 모두 버릴게
우리의 사랑을 위해
너의 손을 잡고 놓지 않을게
사랑하는 내 사랑 바보야"
55	I Don't Think That I Like Her	Charlie Puth	"Get her name and get her number
Find out all of the things
that we have in common
Never all the differences,
oh, yeah
Meet her parents, meet her brother
Then she starts sleepin'
over the crib on weekends
Like a real relationship, oh, no
For me, the stars are alignin'
But for her, it's bad timin'
So she just can't be mine
I don't think
that I like her anymore
'Cause they're all the same
All they wanna do is break
my heart, my heart (Oh-oh)
I don't think
that I like her anymore
'Cause they're all the same
They just wanna see me
fall apart, apart (Oh-oh)
So I hook up on a rebound
And I say that I'm gonna be
single for life
But she's so pretty
and nice (Pretty and nice)
So I made just one exception
But I find out eventually
I'm not her type
Baby, that's the reason why, that
For me, the stars are alignin'
But for her, it's bad timin'
So she just can't be mine
I don't think
that I like her anymore (Yeah)
'Cause they're all the same
All they wanna do is break
my heart, my heart (Oh-oh)
I don't think
that I like her anymore (No)
'Cause they're all the same
They just wanna see me
fall apart, apart (Oh-oh)
I'm trying not to be bitter
But damn it, I miss her
'Cause she's one of a kind
For me, the stars are alignin'
But for her, it's bad timin'
So she just can't be mine
I don't think
that I like her anymore
'Cause they're all the same
All they wanna do is break
my heart, my heart (Oh-oh)
I don't think
that I like her anymore
'Cause they're all the same
They just wanna see me
fall apart, apart (Oh-oh)
Then we fall,
we fall, fall, fall apart now
I don't think
that I like her anymore
'Cause they're all the same
They just wanna see me
fall apart, apart (Oh-oh)"
56	아무래도 난	주시크 (Joosiq)	"아무렇지 않게 내 하루가 또
지나갈 쯤에 문득
네가 없다는 게 익숙해진 내가
낯설어지곤 해 yeah
이제와 너 없는 난 의미 없다고
되돌릴 수 없는 우리겠지만
네가 좋아했던 그 노랠 우연히
듣게 됐어 아무래도 난
Baby I Need You
좀 늦었겠지만
다시 하고 싶어
여전히 I Need you
Need You
좀 어렵겠지만
너 없인 안돼 난
너도 알잖아
Baby I need you now
Baby I need you now
Baby I need you now
몇 곡의 노래로 너를 불렀을까
너도 들었겠지만
아직도 궁금해
내가 없이 보낸
너의 지금은 어때
이제와 너 없는 난 의미 없다고
되돌릴 수 없는 우리겠지만
네가 좋아했던 그 노랠 우연히
불러 봤어 아무래도 난
Baby I Need You
좀 늦었겠지만
다시 하고 싶어
여전히 I Need you
Need You
좀 어렵겠지만
너 없인 안돼 난
너도 알잖아
Baby I need you now
Baby I need you now
Baby I need you now
그때 네가 울던 한강 공원에서
네 눈물을 보고 닦아 주질 못했어
이런 게 떠올라 후회된 장면만
웃는게 예뻤던 너를
Baby I Need You
여전히 사랑해
내가 잘못했어
돌아와 I Need you
Need You
너도 그랬다고
나없이 안돼 넌
너도 알잖아
Baby I need you now
Baby I need you now
Baby I need you now"
57	Dynamite	방탄소년단	"Cos ah ah
I’m in the stars tonight
So watch me bring the fire
and set the night alight
Shoes on get up in the morn
Cup of milk let’s rock and roll
King Kong kick the drum
rolling on like a rolling stone
Sing song when I’m walking home
Jump up to the top LeBron
Ding dong call me on my phone
Ice tea and a game of ping pong
This is getting heavy
Can you hear the bass boom
I’m ready
Life is sweet as honey
Yeah this beat cha ching
like money
Disco overload I’m into
that I’m good to go
I'm diamond you know I glow up
Hey so let’s go
Cos ah ah
I’m in the stars tonight
So watch me bring the fire
and set the night alight
Shining through the city
with a little funk and soul
So I’mma light it up
like dynamite woah
Bring a friend join the crowd
Whoever wanna come along
Word up talk the talk
just move like we off the wall
Day or night the sky’s alight
So we dance to the break of dawn
Ladies and gentlemen
I got the medicine
so you should keep ya
eyes on the ball huh
This is getting heavy
Can you hear the bass boom
I’m ready
Life is sweet as honey
Yeah this beat cha ching
like money
Disco overload
I’m into that I’m good to go
I'm diamond you know I glow up
Let’s go
Cos ah ah
I’m in the stars tonight
So watch me bring the fire
and set the night alight
Shining through the city
with a little funk and soul
So I’mma light it up
like dynamite woah
Dynnnnnanana life is dynamite
Dynnnnnanana life is dynamite
Shining through the city
with a little funk and soul
So I’mma light it up
like dynamite woah
Dynnnnnanana eh
Dynnnnnanana eh
Dynnnnnanana eh
Light it up like dynamite
Dynnnnnanana eh
Dynnnnnanana eh
Dynnnnnanana eh
Light it up like dynamite
Cos ah ah
I’m in the stars tonight
So watch me bring the fire
and set the night alight
Shining through the city
with a little funk and soul
So I’mma light it up
like dynamite
Cos ah ah
I’m in the stars tonight
So watch me bring the fire
and set the night alight
Shining through the city
with a little funk and soul
So I’mma light it up
like dynamite woah
Dynnnnnanana life is dynamite
Dynnnnnanana life is dynamite
Shining through the city
with a little funk and soul
So I’mma light it up
like dynamite woah"
58	열이올라요 (Heart Burn)	선미	"그대 아무런 말도 하지 마요
이 맘은 여전히 그대로예요
따가운 햇살 그 아래 우리
이 분위기 난 좋아요
어떡해 나 숨이 가빠져요
그렇게 쳐다보면
열이 올라요 에오
뜨거워진 온도 탓일까요
약이 올라요 에오
한번쯤은 무너져줄게요
에오 에오
열이 올라요
에오 에오
여름 밤 열긴 밤새 식지 않고
나는 자꾸 위험한 춤을 춰요
따가운 햇살 적당한 바람
이 분위기 난 좋아요
어떡해 나 이제 못 참아요
그렇게 쳐다보면
열이 올라요 에오
뜨거워진 온도 탓일까요
약이 올라요 에오
한번쯤은 무너져 줄게요
올라 올라 라라라 요
올라 올라 라라 라요 라요
올라 올라 라라 라요
올라 올라 라라
잔뜩 취한 듯한 기분
좀 더 높이 날 데려다 줘
잠에 든 도시 타오른 밤이
식기전에 한번만 더
열이 올라요 에오
뜨거워진 온도 탓일까요
약이 올라요 에오
한번쯤은 무너져 줄게요
에오 에오
열이 올라요
에오 에오"
59	Next Level	aespa	"I’m on the Next Level Yeah
절대적 룰을 지켜
내 손을 놓지 말아
결속은 나의 무기
광야로 걸어가
알아 네 Home ground
위협에 맞서서
제껴라 제껴라 제껴라

상상도 못한 Black out
유혹은 깊고 진해
(Too hot too hot)
맞잡은 손을 놓쳐
난 절대 포기 못해

I’m on the Next Level
저 너머의 문을 열어
Next Level
널 결국엔 내가 부셔
Next Level
KOSMO에 닿을 때까지
Next Level
제껴라 제껴라 제껴라

La la la la la la
La la la la la la
La la la la la la
La la la la la

I see the NU EVO.
적대적인 고난과 슬픔은
널 더 Popping 진화시켜
That’s my naevis It’s my naevis
You lead, we follow
감정들을 배운 다음
Watch me while I make it out

Watch me while I work it out
Watch me while I make it out
Watch me while I work it out
Work it work it work it out

감당할 수 없는 절망도
내 믿음을 깨지 못해
더 아픈 시련을 맞아도
난 잡은 손을 놓지 않을게 Oh

절대로 뒤를 돌아보지 말아
광야의 것 탐내지 말아
약속이 깨지면
모두 걷잡을 수 없게 돼
언제부턴가 불안해져 가는 신호
널 파괴하고 말 거야
(We want it)
Come on!
Show me the way to KOSMO Yeah

Black Mamba가 만들어낸 환각 퀘스트
aespa, ae를 분리시켜놓길 원해 그래
중심을 잃고 목소리도 잃고 비난받고
사람들과 멀어지는 착각 속에
naevis 우리 ae, ae들을 불러봐
aespa의 Next Level “P.O.S”를 열어봐
이건 REAL WORLD 깨어났어
We against the villain
What’s the name?
Black Mamba

결국 난 문을 열어
그 빛은 네겐 Fire
(Too hot too hot)
난 궁금해 미치겠어
이다음에 펼칠 Story
Huh!

I’m on the Next Level
저 너머의 문을 열어
Next Level
널 결국엔 내가 부셔
Next Level
KOSMO에 닿을 때까지
Next Level
제껴라 제껴라 제껴라

I’m on the Next Level
더 강해져 자유롭게
Next Level
난 광야의 내가 아냐
Next Level
야수 같은 나를 느껴
Next Level
제껴라 제껴라 제껴라
Huh!"
60	GANADARA (Feat. 아이유)	박재범	"길거리를 걷다 보면
사랑 노래만 흘러나와
나는 왜 저런 게 낯설까
난 한국말까지 서툴러
번역기도 전혀 도움 안 돼
네 맘엔 어떨까 걱정만
어떤 단어를 쓸지 I don’t know
어떤 말을 할지 I don’t know
나는 왜 이런지 I don’t know
You’re on my mind
어떤 단어를 쓸지 I don’t know
어떤 말을 할지 I don’t know
나는 왜 이런지 I don’t know
You’re on my mind
Baby 정말 생각 안 나
Body language로 자신 있어
보여줄게
girl just give me some your time
너를 보면 손에 땀 나
긴장 풀게 한 번 웃어줘
Let me take u on a magic carpet ride
손을 잡아 따라와
맑은 날씨 보름달
가르쳐줘 오늘 밤
가나다라마바사
손을 잡아 따라와
맑은 날씨 보름달
가르쳐줘 오늘 밤
가나다라마바사
너무 완벽하지 않아도
걱정 마 네 맘을 조금 알 것 같아
네게 좀 더 다가서 볼까
고민해 매일 밤
길거리를 걷다 보면
계속 계속 네 생각이 나
이런 내 모습이 왜 낯설까
번역기 위에서
헤매는 네 손가락까지
자꾸만 생각이 나는 걸
Body language도 나는 괜찮아
But 생각 안 나면 그냥 웃어줘
모든 것을 알려줄게 오늘 밤
내가 나쁜 남자처럼 보여도
너를 볼 때면 맘이 여려져
I wouldn’t mind if I died in your arms
손을 잡아 따라와
맑은 날씨 보름달
가르쳐줘 오늘 밤
가나다라마바사
손을 잡아 따라와
맑은 날씨 보름달
가르쳐줘 오늘 밤
가나다라마바사
손을 잡아 따라와
맑은 날씨 보름달
가르쳐줘 오늘 밤
가나다라마바사
손을 잡아 따라와
맑은 날씨 보름달
가르쳐줘 오늘 밤
가나다라마바사"
61	늦은 밤 헤어지긴 너무 아쉬워	케이시 (Kassy)	"어쩌면 너도 나와 같은 꿈 꿀까
매일 마주 보며 눈뜨는 하루
늦은 밤 헤어지긴 너무 아쉬워
널 많이 사랑하나 봐
유난히 날씨가 좋은 날
넌 나를 설레이게 해
영화 속에서만 보던 일들이
요즘 내 일상인 듯해
어쩌면 너도 나와 같은 꿈 꿀까
매일 마주 보며 눈뜨는 하루
늦은 밤 헤어지긴 너무 아쉬워
널 많이 사랑하나 봐
오늘 너에게 고백하겠어
취해서 하는 말이 아냐
참아온 진심인 거야
하루 종일 아무것도 안 해도
너랑 있는 게 젤 좋아
달빛도 하늘 아래 우리를 비추고
온 세상이 모두 잠든 것 같아
늦은 밤 헤어지긴 너무 아쉬워
널 많이 사랑하나 봐
네가 살아가는 순간에
그 모든 순간에 내가 있음 해
고마워 내 인생에 나타나줘서
이렇게 날 안아줘서
오늘 너에게 고백하겠어"
62	Off My Face	Justin Bieber	"One touch and you got me stoned
Higher than I've ever known
You call the shots and I follow
Sunrise but the night still young
No words but we speak in tongues
If you let me I might say too much
Your touch blurred my vision
It's your world and I'm just in it
Even sober I'm not thinkin' straight
'Cause I'm off my face
in love with you
I'm out my head so into you
and I don't know how you do it
But I'm forever ruined by you
ooh ooh ooh
Can't sleep
'cause I'm way too buzzed
Too late now you're in my blood
I don't hate the way you keep me up
Your touch blurred my vision
It's your world and I'm just in it
Even sober I'm not thinkin' straight
'Cause I'm off my face
in love with you
I'm out my head so into you
and I don't know how you do it
But I'm forever ruined by you
ooh ooh ooh
Ooh-ooh-ooh ooh ooh ooh ooh
Ooh-ooh-ooh ooh ooh
Ooh-ooh-ooh ooh ooh ooh ooh
Ooh-ooh-ooh ooh ooh
'Cause I'm off my face
in love with you
I'm out my head so into you
and I don't know how you do it
But I'm forever ruined by you
ooh ooh ooh
By you ooh ooh ooh"
63	이제 나만 믿어요	임영웅	"무얼 믿은 걸까 부족했던 내게서
나조차 못 믿던 내게 여태 머문 사람
무얼 봤던 걸까 가진 것도 없던 내게
무작정 내 손을 잡아 날 이끈 사람
최고였어
그대 눈 속에 비친 내 모습
이제는 내게서 그댈 비춰줄게
궂은 비가 오면
세상 가장 큰 그대 우산이 될게
그댄 편히 걸어가요
걷다가 지치면
내가 그대를 안고 어디든 갈게
이제 나만 믿어요
나만 두고 가던
나만 스쳐 간 행운이 모여
그대가 되어서 내게 와준 거야
궂은 비가 오면
세상 가장 큰 그대 우산이 될게
그댄 편히 걸어가요
걷다가 지치면
내가 그대를 안고 어디든 갈게
이제 나만 믿어요
나의 마지막 주인공이 되어
다신 누구 앞에서도
그대는 고개 숙이지 마요
내가 보지 못했던 홀로 고단했던 시간
고맙고 미안해요 사랑해요
이 세상은
우리를 두고 오랜 장난을 했고
우린 속지 않은 거야
이제 울지 마요
좋을 땐 밤새도록 맘껏 웃어요
전부 그대 꺼니까
그대는 걱정 말아요
이제 나만 믿어요"
64	Left and Right (Feat. Jung Kook of BTS)	Charlie Puth, 정국, 방탄소년단	"INTRO
Memories follow me left and right
I can feel you over here I can feel you over here
you take up every corner of my mind
whatcha gon do now

VERSE 1 (Charlie Puth)
ever since the da day y-you went away
no I don't know how
how to erase your body from out my brain
whatcha gon do now
maybe I should just focus on me instead
But all I think about
are the nights we were tangled up in your bed

oh no (oh no)
oh no (oh no)
you’re going round in circles got you stuck up in my head (yeah)

CHORUS
Memories follow me left and right
I can feel you over here I can feel you over here
you take up every corner of my mind
your love stays with me day and night
I can feel you over here I can feel you over here
you take up every corner of my mind
whatcha gon do now

VERSE 2 (Jung Kook of BTS)
ever since the da da day y-you went away
someone tell me how
how much more do I gotta drink for the pain
whatcha gon do now
you did things to me that I just can't forget
now all I think about
are the nights we were tangled up in your bed
oh no (oh no)
oh no (oh no)
you're going round in circles got ya stuck up in my head

CHORUS
Memories follow me left and right
I can feel you over here I can feel you over here
you take up every corner of my mind
your love stays with me day and night
I can feel you over here I can feel you over here
you take up every corner of my mind
whatcha gon do now

BRIDGE
did ya know you’re the one that got away
and even now baby i'm still not ok
did ya know that my dreams they're are the same
everytime I close my eyes

CHORUS
Memories follow me left and right
I can feel you over here I can feel you over here
you take up every corner of my mind
whatcha gon do now
your love stays with me day and night
I can feel you over here i can feel you over here
you take up every corner of my mind
whatcha gon do now

I can feel you over here I can feel you over here
you take up every corner of my mind
whatcha gon do now"
65	너를 생각해	주시크 (Joosiq)	"너를 들려주고 싶었어
이 노랠 만들 때
아마 니가 정말 많이 좋아할꺼야
이젠 내겐 니가 없어서
나 혼자 불러도
혹시 듣게 되면 그게 니 얘기라고
난 노랠 만들 땐
늘 너를 생각해
어딘가 혼자 진지한 표정
고개를 끄덕거리고 나선
항상 흥얼거리며 따라 불렀어
나를 보며 신나있던 너에게
불러주고 싶던 노래를
왜 이제야 겨우 완성했을까
이 노랜 널 사랑한다는 내 얘기가
잔뜩 들어갔어야 하는 노랜데
너를 들려주고 싶었어
이 노랠 만들 때
아마 니가 정말 많이 좋아할꺼야
이젠 내겐 니가 없어서
나 혼자 불러도
혹시 듣게 되면 그게 니 얘기라고
니가 자주 가곤했던 카페에
이 노래가 나올 때까지
니 친구가 따라 부를 때까지
이 노랠 유명해지게 계속 불러서
나는 너에게로 꼭 닿고 말거야
너를 들려주고 싶었어
이 노랠 만들때
아마 니가 정말 많이 좋아할꺼야
이젠 내겐 니가 없어서
나 혼자 불러도
혹시 듣게 되면 그게 니 얘기라고
너를 사랑할땐 몰랐던
바보라 미안해
아마 이걸 듣고 너는 원망하겠지
이젠 내가 많이 잘할게
너 혼자 울지마
혹시 듣게 되면 아직 너뿐이라고"
66	듣고 싶을까	MSG워너비(M.O.M)	"우리 함께 듣던 그 노랠 듣고 싶을까
듣고 나서 잠시 날 생각은 할까
아주 혹시라도 넌 내가 보고 싶을까
난 왜 니 목소리가 듣고 싶을까
뻔하디 뻔한 노랫말 여서 미안해
미안해도 부디 넌 꼭 들어줬음 해
후회도 미련도 없는 척 떠났지만
이게 내 진심인 걸 꼭 알아줬음 해
우리 함께 듣던 그 노랠 듣고 싶을까
듣고 나서 잠시 날 생각은 할까
아주 혹시라도 넌 내가 보고 싶을까
못난 내 목소리가 듣고 싶을까
말없이 다 전해지는 건 없지 난 말해 지금
몇 년째 나의 favorite one
You the only one yeah
Yes I know 무엇도 달라질 건 없지만
이게 내 진심인 걸 꼭 알아줬음 해
우리 함께 듣던 그 노랠 듣고 싶을까
듣고 나서 잠시 날 생각은 할까
아주 혹시라도 넌 내가 보고 싶을까
난 왜 니 목소리가 듣고 싶을까
Are you okay not today
천천히 대답해도 돼 i just stay
넌 내 목소리가 듣고 싶을까
누굴 만나 봐도 다시는 못할 것 같아
그립고 또 그립다 우리 그 사랑
Woo
I’m missing U
Never forget U
Never forget U
Oh no baby"
